name,id,program_id
BEST STUDENT IN COMMUNITY DEVELOPMENT ,2bf4dec5-6b5a-4807-a7a8-78b711b35f4f,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN ENVIROMENTAL SUSTAINABILITY ,deb9ddd2-e72a-4c8b-8908-195a7ca2a6aa,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN TECH AND INNOVATION,b154c2a3-03b3-4b33-89b0-3775d1da7fa3,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN CIVIC ENGAGEMENT ,90900178-9256-485b-9098-414b2861fa4d,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT HUMANITARIAN/VOLUNTEER SERVICE,5d803a58-436f-40aa-b2ea-5f09d4ef84c7,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN EDUCATIONAL TECHNOLOGY ,35b0c563-75e0-42ea-8f02-bcef1e093796,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN TOURISM AND HOSPITALITY,6658b536-8cbf-41e0-bfc4-65be63bac4ed,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN YOUTH LEADERSHIP IN POLITICS,f274e8ad-bc4d-49ad-a0cf-66b192182a38,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN INCLUSIVE ARTS AND CULTURE PROMOTION ,92ca7254-ced5-4e6a-9f1f-818f05d11cb7,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT START-UP,14060bd7-98e3-4f63-a085-83774b52ab83,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT DIGITAL CONTENT CREATOR ,6b4e1a40-253a-47cd-be12-a65993b828b7,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN GLOBAL CITIZENSHIP,d9765c1a-7205-45b3-be28-9f70836a8634,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN GREEN TECHNOLOGY INNOVAION ,5e86b075-267d-45d5-a3a0-09fd77f0e890,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN YOUTH MENTAL HEALTH ADVOCACY ,cf42e2f6-da7c-4181-9ddb-ac4359c59d8f,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN ACADEMIC INNOVATION,41d073a8-c77c-4a07-b392-f2594f4d5966,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN RENEWABLE ENERGY ,b54d762c-ce0c-4821-90a5-f2e7cb77ef1c,21cd94e6-8aca-4d97-b8aa-38651edcee52
"BEST STUDENT IN STEM (SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS)",d895f674-0b75-4b74-9294-cd02a45aa85a,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN TERTIARY INSTITUTION CLUB OR SOCIETY,b387492e-3589-43d1-ba59-1f81e0019ce0,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN FILM PRODUCTION ,f1289ad1-0bd6-46f1-8d0e-646d63d62a8b,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN MUSICIAN COMPOSITION AND PERFORMANCE,eb839ba9-c0c2-4fd6-b916-e0b8ed061326,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN THEATER ARTS AND DRAMA,3de83769-07f4-4ae6-a850-36a745000b3e,21cd94e6-8aca-4d97-b8aa-38651edcee52
"BEST STUDENT IN DANCER, DANCE GROUP AND CHOREOGRAPHY ",5b07e6cb-0cb7-4e2c-82e0-148f0889ab5e,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT PHOTOGRAPER,aad9da30-bb9d-4b99-82ea-802784d36985,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN ANIMATION/ VIDEO EDITING,fee485f0-f411-45da-9d29-e21793aa2cd2,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN CREATIVE WRITING FOR MEDIA/ AUTHOR,2c4c189d-4039-493b-81ae-272aa6863ac9,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT FASHION DESIGNER,af3d971d-7e99-4afb-b55a-1d6ccea9dbd4,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN EVENT MANAGEMENT AND PRODUCTION,55bd43f5-a5d6-4dca-85a2-1d44bed57e00,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN SOUND ENGINEERING AND PRODUCTION,a64f7d22-b110-4854-80b2-00e40c94ba7c,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT COMEDIAN,22b8aebd-2108-45fe-9f10-bc344c65651a,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN CELEBRITY MANAGEMENT AND PUBLIC RELATIONS,48ba16ec-ff59-49c7-aabe-851348e35c00,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT GRAPHIC DESIGNER ,a5e533e3-65a0-4609-86cd-0d963b0552ee,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT AGRICULTURIST,a7429c89-e213-4fc7-9f67-848e84c3b4a1,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST INFLUENTIAL STUDENT/ ACTIVIST,72c51f18-4499-4d8c-93ab-49b99ad3f0f6,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT NURSE/MID-WIFERY STUDENT,526da18d-52b7-4750-9059-b754432dfe59,21cd94e6-8aca-4d97-b8aa-38651edcee52
GTA STUDENT OF THE YEAR,cda19af2-c6a4-4a82-8934-b8c55d4e0d1d,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT ENTREPRENEUR,2bdcab80-86d8-4fac-b578-033c8ba174fc,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT ACADEMICIAN,554a2a36-a404-4b3b-b40d-50b01c256daa,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT SOFTWARE DEVELOPER/INFORMATION TECHNOLOGY,861489e0-b90d-4abe-af8c-62bb1eb33946,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT JOURNALIST(TV/RADIO/BLOGGING/REPORTER),176b24e3-382e-4e23-a2b3-49828c4a8578,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT SOCIAL MEDIA INFLUENCER,b4213eee-8322-4a7a-80fe-00d15f194522,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT SPORTS PERSONALITY,a11a1e1a-5049-4d7d-bd4e-531b58697df4,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT PENCIL ARTIST/PAINTER/SCULPTOR,596aa6b9-8b26-4937-8bff-bad41c9d7d7f,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT ACTOR/ACTRESS,80ff101c-ec5f-47a5-9ebe-46ec14dba645,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT MAKEUP ARTIST,0faa2572-d1ab-4044-a6a0-e659f545c8cc,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT BEAUTY QUEEN,aa1fe16f-0299-4527-bb14-6c0cb3de93e9,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT MC/HYPE MAN,bd78d91c-7e96-4754-9492-4b6eb7448be8,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT DJ,3c94c11e-9bf0-41df-ae12-ec9f19186a3a,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT MODEL,5091ea67-f9ae-4a4d-862c-4fd8d03c2888,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT SPOKEN WORD ARTISTE/POET,2e8f2561-ea7f-4342-b0ab-7694a1d1e17f,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT TEACHER TRAINEE,f380a81a-55e4-47c9-a79f-45b65cabced0,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN HEALTH CARE AND WELLNESS,b86ed275-b281-4c59-a4b4-d7399d1104d3,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT SRC PRESIDENT,640672af-314e-4f63-9831-d2b2d475406d,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT ACTOR/ACTRESS,61b7e96d-e705-4ede-b25b-ca5afbab3781,21cd94e6-8aca-4d97-b8aa-38651edcee52
BEST STUDENT IN CITIZENSHIP/DIASPORA,c23357ac-47aa-4fa7-a292-0cd32f3eb798,21cd94e6-8aca-4d97-b8aa-38651edcee52
